common_words
fresh
salty
favourite
they are
fruit
grape
Cook the meals
water the flowers
sweep the floor
clean the bedroom
make the bed
set the table
wash the clothes
do the dishes
use a computer
curtain
trash bin
closet
mirror
end table
bedroom
kitchen
bathroom
living room
in
on
under
near
behind
clothes
river
flower
grass
lake
forest
path
park
picture
house
bridge
tree
road
building
clean
do morning exercises
eat breakfast
have English class
play sports
eat breakfast
when
evening
get up
at
usually
noon
climb mountains
go shopping
play the piano
visit grandparents
go hiking
weekend
often
sometimes
spring
summer
fall
winter
season
which
best
swim
fly kites
skate
make a snowman
plant trees
why
because
sleep
Jan./January
Feb./February
Mar./March
Apr./April
May
June
July
Aug./August
Sept./September
Oct./October
Nov./November
Dec./December
birthday
uncle
her
date
aw pictures
cook dinner
read a book
answer the phone
listen to  music
clean the room 
write a letter
write an e-mail 
mom
grandpa
study
fly
jump
walk
run
swim
kangaroo
sleep
climb
fight
swing
drink water
take pictures
watch insects
pick up leaves
do an experiment
catch butterfly
honey
count insects
collect leaves
write a report
play chess
have a picnic
by
Foot
Bike
Bus
Train
How
go to school
Traffic
traffic light
traffic rule
Stop
Wait
Get to
Library
post office
Hospital
Cinema
Turn
Bookstore
Where
Please
Next to
right
Left
Straight
then
Next week
This morning
This afternoon
this evening
comic book
post card
Newspaper
Buy
Hobby
dive—diving
teach—teaches
go—goes
watch—watches
read—reads
doesn’t
does not
singer
Writer
Actor
Actress
Artist
TV reporter
Engineer
Accountant
Policeman
Salesperson
Cleaner
Where
Work
Rain
cloud
Sun
Stream
Come from
Seed
Soil
sprout
Plant
should
Then
tall—taller
short—shorter
strong—stronger
old—older
young—younger
big—bigger
heavy—heavier
long—longer
thin—thinner
small—smaller
Have a fever
Have a sore throat
Have a cold
Have a toothache
Have a headache
Matter
sore
Hurt
nose
Tired
Excited
Angry
Happy
Bored
sad
watch—watched
wash—washed
clean—cleaned
play—played
visit—visited
Presents
Mike
Chen Jie
Wu Yifan
Amy
John
Sarah
Zhang Peng
Liu Yun
Nick
Lisa
Pete
Mary
Tom
Ann
Mr Black
Miss White
OK
met
come in
happen
accident
Beijing International Airport
plane
heard
modern
kill
Memphis
murder
hear about
bright
playground
bell
rang
told
close
silence
take place
recent
World Trade Center
destroy
terrorist
meaning
as…as…
became
flight
earth
hero
flew
Davy
Martin Luther King
Allen
mad
anymore
direct speech
reported speech
first of all
message
pass on
suppose
be supposed to
hard-working
do well in
grandpa
in good health
report card
nervous
envelope
semester
TRUE
disappointing
lucky
copy
own
get over
poor
village
Peking University
graduate
volunteer
the Ministry
Chinese
rural
area
meter
sea level
thin
ate   
fortunately
decision
husband
dormitory
senior high school
open up
start
influence
return
hometown
Greenpeace
care for
border
UNICEF  
WWF
danger
Lana
Marcia
have a greet time
organize
take away
clean-up
flower
agent
around the world
make a living
against prep
charity
chance
all the time
injured
sincerely
lawyer
tonight
mobile phone
Andrea
Mark
Michael
what's the problem
fat
window
play football
consequence  
explain
following
Harry
collect
shell
marathon
pair
skate
since  
Hilltop School
raise
several
skater
stamp
kite
monster
globe
anyone
run out of
store
cake
particularly
collector
by the way
common
extra
coin
topic
been
be interested in
writer
dynasty
character
capital
European
Russian
Australian

Jewish
Jew
thousand
emperor
foreigner
quite
certain
the Olympic Games
far away
miss
Alison
Celia
Liam
Ellen
Leo
not at all
turn down
yard
right away
task
poster
waitress
brought
solution
line
wait in line
annoy
annoyed
polite
perhaps
door
cut in line
term
etiquette
normal
behavior
at first
Asian
uncomfortable
impolite
allow
keep down
voice
public
take care
cough
sneeze
break
break the rule
politely
smoke
put out
cigarette
criticize
careful
drop  
litter
pick
pack…up  
behave
Nick
Harris
comment
album
personal
special
receive
gave
guy
spider
mouse
snake
hamster
turtle
child
pot-bellied
pig
advantage
disadvantage
perfect
rabbit
company
cost
asleep
fall asleep
choose
present
open
later
given
give away
bench
rather than
Sweden
instead
the Olympics
enter
nearly
sang
clearly
stage
native
native speaker
winner
modest
interested
encourage
progress
make progress  
hear of
suggest
Beijinger
take an interest in
besides prep
make friends with
statement
mention
Connie  
amusement
neither
Disneyland
Mickey Mouse   
Donald Duck   
character
seen
theme
attraction
roller coaster   
cruise
board
on board
route
end up
island
especially
exchange student
attendant
flight attendant
discover
requirement
guide
tour guide
film
southeast
wonderful
holiday
quarter
three quarters
population
simply
Putonghua
fear
brave
excellent
Indian
Night Safari
dark  
daytime
wake
awake up
fox
natural
environment
temperature
all year round
equator
whenever
spring
autumn
season
type
awake
Claudia
Harvey
Leonardo  
Franklin Lake   
noon
sandy
goodbye
look through
bookstore
cross
elevator
low
slow
fan
note
come along
get along
baby
at least
traffic
least
Andy
Rita
review
Erhu
Janet  
Jay  
subtitle  
web page  
flashcard
vocabulary
aloud
pronunciation
specific
memorize
grammar
differently
frustrate
frustrating

quickly
add
pronounce
spoken
slowly
mistake
make mistakes
comma
challenge
solution

later on   
realize
matter
it doesn't matter
afraid
be afraid to
laugh at
complete
secrete
 learner
take notes
term
impress
trouble
fast
look up

soft
make up
essay

deal
deal with
unless
unfair
solve
regard
duty
easily.
influence
be angry with
go by
friendship
lose
disagreement
development
adult
try one's best
unimportant
face
soldier
break off
psychologist
airplane
terrify
be terrified of
go to sleep
on
insect
candy
chew
gum
chat
daily
death
cause
himself
patient
in the end  
make a decision
head teacher
to one's surprise
exactly
even though
no longer
take pride in
attention
pay attention to
give up
waste
pierce
license
licence
silly
earring
instead of
stay up
concentrate
concentrate on
study
design
present
at present
opportunity
volunteer
local
experience
member
mess
old people's home
sleepy
reply
newsletter
obey
in the way
achieve
race
realistic
taught
importance
care about
succeed
Point
million
medical
research
tie
worry
what if
pimple
energetic
confident
permission
herself
bother
not..in the slightest
annoy
fairly
plenty
plenty of
get along with
circle
listener
knowledgeable
represent
let...down..
come up with
rest
aid
first-aid  
nearby
shelf
come out
cover
press
deep
downstairs
correct
burn
knee
pain
hurt
offer
refuse
helpful
treat
burn
belong.
belong to
author
picnic
hair band
possibly
drop
symphony
optometrist
appointment
crucial
make up
final
anxious
worried
owner
Oxford University
chase
sky
helicopter
creature
catch
unhappy
extremely
interview
noise
wind
neighbor
footstep
garbage
mystery
director
monkey
escape
bark
smell
finger
lift
stone
ant
ocean
dishonest
pretend
use up
attempt
net
turn off
polar bear
Vietnam
prefer
lyric
gentle
dislike
remind of
heart
string
sink
Yellow River
fisherman
latest
entertainment
feature
photography
gallery
photographer
display
on display
photograph
interest
class
whatever
miss
suggest
energy
okay
pro
con
honest
course
suit
suit sb.(fine)
expect
sweet
taste
to be honest
be bad for
actually
fry
mainly
stay away from
be in agreement
itself

type

barbecue
increase
risk
biscuit
main
exclamation
tag
contraction
tasty
vegetarian
shock
tiring
educational
peaceful
fascinating
thrilling
take it easy
Florida
trek
Amazon
jungle
fall
Niagara Falls
touristy
spotlight
consider
lively
sight
including
tower
Eiffel Tower
cathedral
Notre Dame
church
convenient
underground
general
in general
wine
translate
pack
light
Ace Travel
eastern
provide
firm
spot
Confucius
sail
Pacific
finding
thousands of  
as soon as possible
continue
programming
translator
report
willing
be willing to
quite a few
dream
dream of
sportspeople
conclusion
hold on to
attitude
clean up
hunger
homeless
cheer
give out
clean-up
sign
advertisement
put off
set
set up
establish
think up
major
commitment
elementary
veterinarian
coach
take after  
fix
fix up
repair
similar
put up
ask for
hand out
call-in
phone-in
strategy
work out
website
disabled
organization
fill
pleasure
detection
blind
deaf
unable
imagine
shut
carry
carried
help (sb.) out
specially
fetch
at once
latter
support
appreciate
donation
part of speech
pronoun
adverb
preposition
conjunction
Donate
invent
calculator
be used for
scoop
adjustable
 heel
battery
operate
battery-operated
slipper
heat
bulb
light bulb
microwave
microwave oven
crispy
salty
sour
by mistake
chef
sprinkle
by accident
beverage
according to  
ancient
legend
Shen Nong
bush
fall into
remain
notice
produce
pleasant
mixture
in this way
pie
flying disk
bakery
Bridgeport
Connecticut
throw
taste
lemon
cookie
abacus
binoculars
century
rank
active
indoors
create
wooden
knock
knock into
divide
aim
basket
metal
hoop
shoot
below  .
backboard
guide
towards
court
Berlin
develop
popularity
rise
risen
worldwide.
association
equipment
by the time
gotten
oversleep
go off
rush
run off
on time
lock
relative
broke
break down
fool
costume
embarrassed
empty
show up
exhausted
April Fool's Day  
announce
Mars
convincing
panic
set off
authority
reveal
hoax
flee
fled
spaghetti
farmer
sell out
girlfriend
marry
thrill
get married
ending
embarrassing
a piece of
Halloween
Holland
Qomolangma
restroom
shampoo
drugstore
cafe
department
department store
escalator
magic ?
fresh
block
oak
uncrowded
slide
water slide
clown
staff
organized
dress up
market
lend
park
alright  adj.&adv.
direct
order
wonder
lead
trouble
offend
certain
structure
hand in
shake
shake hands
custom
bow
kiss.
Cali
Colombia

relaxed
drop by
Lausanne
Switzerland
land
after all
towards ?
greet
Peru
wipe
napkin
make a noise
stick
rude
point
go out of one's way to do sth.
make sb. feel at home
manner
table manners
be/get used to
fork
full
lap
elbow
gradually
particular
compliment
toast
unfamiliar
spoon
knife
crowd
rubbish
seek
Chatline
chat line
online
type
mostly
abbreviation
form
phrase
homophone
combine
symbol
punctuation
mark
emotion
emoticon
colon
bracket
beside
e-mail
email
riddle
learn…by oneself
experiment
proper
pleased
queue
normally
whose
lagoon
scientific
therefore
pink
lighting
hard
serve
fair
campaign
endangered
slogan
mysterious
shiny

product
lookout
beauty
toothpaste
stardust
advertising
pros and cons
aim
aim at
specifically
instance
for instance
list
confusing
misleading
truth
at times
to start with  
tense
home-made
schoolbag
purple
purse
guilty
taste
saying
thought
count
bathing
suit
bathing suit
towel
water
guidebook
clean out
refrigerator
garage
suitcase
get back to sb.
chop
wood
light
well
farm
anyway
award
wave
scene
Hit
appear
lead
lead singer
some day
be off
poem
cupboard
turn
mail
ancestor
root
overseas
homeland
government
so far
southern
villager
thanks to
strongly
purpose
step
look forward
manatee
furry
enormous
playful
aggressive
gray
spotted
kangaroo
chimpanzee
cheetah
mangrove
swamp
habitat
aquatic
feed
underwater
vegetation
weigh
pound
polluted
present progressive
present simple
infinitive
passive voice
present perfect
suitable
tiny
cage
disgusted
educate
care for
urge
expression
recycle
built
stuff
pull
glue
roof
discard
tile
fence
can
recently
planet
society
president
inspiration
spare
model
material
business
plastic
certainly

proud
flag
national flag
good  
morning
good morning
hi
hello
heavy barrel
CD
BBC  
afternoon
Good afternoon  
evening
good evening
How
are
you
How are you  
I.
am
I am
fine  
thanks
ok
name
list
what
is
this
in
English.
an
it
map
orange
jacket
key
quilt
pen
ruler
parking
National Basketball Association

spell  
please.
color
red
yellow  
green
blue
black
white  
and  
UFO
CCTV
United Nations
the
my
name
is
clock
I
am
I am
nice
meet
you
what
your
hello
hi
his
and
her
question
answer
look
first
first name
last
last name
boy
girl
zero
one
two
three
four
five
six
seven
eight
nine
telephone
number
telephone number
phone
phone number
it
card
ID card
family
family name
this
pencil
pen
book
eraser
ruler
case
pencil case
backpack
pencil sharpener
dictionary
that
yes
no
not
is not
excuse
Excuse me.
thank[-s]
OK
in
English
a
how
do
spell
baseball
watch
computer
game
computer game
key
notebook
ring
call
at
in
the
lost
found
lost and found
please
school
a set of
of
sister
mother
father
parent
brother
grandmother
grandfather
friend
grandparents
those
are
these
she
he
aunt
son
cousin
daughter
uncle
picture
dear
for
thanks for
photo
here
where
table
bed
dresser
bookcase
sofa
chair
drawer
plant
under
they
they're
they are
on
know
bag
math
alarm clock
CD
video
tape
hat
take
thing
to
mom
can
bring
some
need
floor
room
TV
desk
have
soccer
ball
soccer ball
tennis
racket
tennis racket
ping-pong
volleyball
basketball
bat
does
let
us
let's
let us
play
well
sound
good
sport
we
many
club
more
class
interesting
boring
fun
difficult
relaxing
watch
watch TV
has
great
collection
but
play sports
only
them
every
day
like
banana
hamburger
tomato
broccoli
French  fries
orange
ice
cream
ice cream
salad
strawberry
pear
have
oh
countable noun
uncountable noun
food
egg
apple
carrot
chicken
breakfast
lunch
dinner
fruit
vegetable
runner
eat
well
run
star
lot
lots of
healthy
dessert
list
furniture
people
an
blank
conversation
other
also
how much
pants
sock
shirt
t-shirt
shorts
sweater
shoe
skirt
sale
dollar
color
black
white
red
green
blue
yellow
big
small
short
long
clerk
help
want
Here you are.
welcome
You’re welcome
example
ten
eleven
twelve
thirteen
fourteen
fifteen
sixteen
seventeen
eighteen
nineteen
twenty
thirty
clothes
store
come
buy
very
price
each
anybody
afford
our
see
yourself
mr
sell
from
Zig Zag
have a look(at)
on sale
sorry
when
birthday
month
January
February
March
April
May
June
July
August
September
October
November
December
tenth
fourth
fifteenth
second
third
fifth
sixth
seventh
eighth
ninth
eleventh
twelfth
thirteenth
fourteenth
sixteenth
seventeenth
eighteenth
nineteenth
twentieth
thirtieth
date
happy
happy birthday!
birth
age
old
how old
speech
contest
party
trip
basketball game
volleyball game
school day
art
festival
Chinese

music
year
years old
go
movie
go to a movie
action
comedy
documentary
thriller
kind
singular
plural
opera
Beijing Opera
find
someone
who
student
scary
funny
sad
exciting
really
often
think
learn
about
history
with
favorite
actor
new
successful
weekend
too
Rush
Mr. Bean
Shaolin temple
guitar
join
dance
swim
sing
chess
paint
speak
can't
can not
kid
our
drum
piano
trumpet
violin
or
musician
then
be
rock
band
show

Sunday
pm
kung fu
may
draw
little
a little
e-mail
address
why
time
what time
go to school
get up
shower
take a shower
usually
o'clock
of the clock
work
hour
brush
teeth
after
go to work
get to
bus
hotel
all
night
love
listen
home
morning
go to bed
job
am
afternoon
evening
homework
do homework
go home
letter
around
start
write
tell
me
soon
best
wish
Saturday
survey
subject
science
physical educatio
because
description
word
teacher
who
Mrs.
partner
city
dad
Tuesday
Thursday
Wednesday
Friday
Monday
biology
busy
next
strict
tired
Miss
ask
any
dog
around
America
so
China
before
hobby
today
life
pal
pen pal
Canada
France
Japan
The United States
Australia
Singapore
The United Kingdom
country
Sydney
New York
Paris
Toronto
Tokyo
live
language
Japanese
world
French
like(pl)
dislike

post
office
post office
library
restaurant
bank
supermarket
street
pay
pay phone
park
avenue
center
bridge
mail
there
near
across
across from
next
next to
between
front
in front of
be hind
neighborhood
just
straight
turn
left
down
right
on the right
open
market
clean
quiet
dirty
house
welcome
garden
district
enjoy
walk
take a walk
through
beginning
tour
visit
place
fun
have fun
if
hungry
arrive
way
take(tooktaken)
taxi
airport
pass
hope
yours
koala
tiger
elephant
dolphin
panda
lion
penguin
giraffe
zoo
cute
map
smart
animal
box
kind of
south

Africa
bingo
ugly
clever
friendly
beautiful
shy
other
grass
sleep
during
at night
leaf
lazy
meat
relax
shop

assistant
shop assistant
doctor
reporter
policeman
waiter
bank clerk
hospital
now
star
policewoman
nurse
money
give
get
wear
uniform
sometimes
in
dangerous
thief
late
out
talk
station
TV station
police
police  station
newspaper
hard
as
at
summer
story
magazine
young
play
news
children
international
teach
skill
sir
madam
clean
read
on
apartment
TV show
suread
wait
wait for
toy
west
activity
shop
mall
pool
camera
bird
rain
windy
cloudy
sunny
snow
weather
Moscow
Boston
cook
study
bad
terrible
pretty
hot
cold
cool
warm
humid
vacation
on vacation
take a photo
lie
beach
look at
group
surprised
heat
relaxed
winter
scarf
everyone
have a good time
man
describe
look for
Talk about
direction
unit
most
following
In order to
improve

curly
straight
tall
medium
height
thin
heavy
build
like
always
captain
team
popular
blonde
good-looking
bit
a little bit
joke
never
stop
brown
person
beard
glasses
look
remember
pop
singer
say
nobody
Pete
Cathy
Teeny
Hugeman
Dreamer
Wiseman
would
noodle
beef
mutton
cabbage
potato
special
drink
large
size
bowl
juice
dumpling
porridge
tea
green tea
rice
soup
onion
fish
telephone
RMB
Monday
Tuesday
Wednesday
Thursday
Friday
reason
menu
was
did
went
visit
test
what about…
stay
at home
have
do some reading
practice
regular
verb
irregular
present
past
mountain
geography
spend
week
no
middle
middle school
most
go shopping
had
saw
talk
Talk show
wrote
song
go for a walk
sat
down
cat
It is time to
wasn't
was not
no
anything
suggestion
New York City
camp
summer camp
museum
guide
central
didn't
did not
exam
really
rainy
were
fantastic
unfriendly
awful
delicious
expensive
crowded
cheap
think of
water
cry
corner
make
made
feel
walk
back
decide
wall
the Great Wall
palace
the Palace Museum
square
Tian'an Men Square
make
classmate
discuss
report
sex
soap
soap opera
sitcom
situation
nothing
ha
stand
mind
king
how about
fact
In fact
culture
host
agree
agree with
sunglasses
belt
wallet
key ring
by
fashion
said
article
idea
colorful
rule
hallway
classroom
fight
Ms
out side
dining
hall
have to
else
sports shoes
gym
by
wash
later
Children's Palace
no talking
loudly
accessory
snow
order
opinion
order
form
how often
exercise
skateboard
hardly
ever
shop
once
twice
time
surf
Internet
program
high school
result
active
for
as for
about
junk
junk food
milk
coffee
chip
cola
chocolate
drink
health
how many
interviewer
habit
try
of course
look after
lifestyle
grade
better
same
as
different
difference
unhealthy
yuck
maybe
Although
though
for
grandpa
a lot of
keep
must
less
matter
have
rest
honey
dentist
should
headache
ago
so
illness
advice
thirsty
stress
stressed out
early
problem
way
traditional
believe
balance
yin
yang
weak
Dangshen
Huangqi
herb
angry
tofu
medicine
western
everybody
get
few
a few
stay
important
balanced
diet
moment
at the moment
late
until
till
dear
host family
hear
babysit
camp
plan
Tibet
hike
Hong Kong
yeah
how long
away
get back
send
post card.
San Francisco
Hawaii
bike
ride

sightseeing
fish
rent
Italy
famous
take a vacation
Greece
Spain
Europe
something
lake
the Great Lakes
leave
countryside
nature
forget
a lot
finish
Thailand
tourist
subway
hey
train
forty
fifty
sixty
seventy
eighty
ninety
hundred
minute
take
by
by bus
far
how far
kilometer
shower
quick
bicycle
station
early
mile
stop
transportation
north
North America
part
depend
depend on
river
boat
by boat
must
more

than
means
car
town
ill
worry
so
much
lesson
another
concert
whom
calendar
tomorrow
the day after tomorrow
weekday
invitation
pity
training
chemistry
American
project
match
whole
over
come over
free
till
outgoing
twin
calm
wild
serious
athletic
note.
mean
as
way
both

hers
physics
however
more than
in common
be good at
schoolwork
laugh
for
opposite
view
interest
though
although
necessary
beat
care
friendship
primary
primary school
information
Review of units 1-6
wheel
woman
use
cheese
begin
begin with
swimming pool
excited
Harbin
safe
fast
passenger
shake
milk shake
blender
turn on
cut
up
cut up
peel
pour
into
yogurt
yoghurt
ingredient
cup
watermelon
teaspoon
amount
instruction
finally
mix
mix up
popcorn
popper
boil
salt
add
add… to…
sandwich
bread
butter
relish
lettuce
turkey
slice
super
top
recipe
check
green onion
duck
sauce
pancake
roll
gift
shark
aquarium
seal
hang
hang out
souvenir
win
autograph
prize
visitor
outdoor
octopus
end
monitor
Chicago
California
sleep late
drive
off
day off
rain
DVD
digital video disk
yard
yard sale
luckily
umbrella
raincoat
wet
competition
player
future
again
Laura
Toby
Grace
Jake
born
record
hiccup
sneeze
too to
golf
Brazilian
national
achievement
perform
gymnast
gold

medal
championship
golfer
become
call
talented
loving
creative
outstanding
kind
unusual
grandson
violinist
skate
ice skating
champion
tour
the U.S.
well-known
pianist
could
hum
song
piece
accordion
take part in
Poland
alive
athlete
because of
Asia
table tennis
university
major
major in
management
number
single
ITTF
Martina Hingis
David Beckham
Donna
Charles
Tiger Woods
Shirley Temple
Morzart
Ronaldo
Arthur
Vivian
Midori
Chopin
grow
grow up
programmer
computer science
engineer
pilot
professional
act
move
dream
somewhere
exhibition
artist
part-time
save
at the same time
hold
exhibition
rich
travel
all over
retire
yet
resolution
instrument
over
fax
reader
fit
communicate
lady
foreign
build
exchange
exchange student
chore
partner
dish
do the dishes
sweep
trash
take out
make one's bed
fold
living room
meeting
work on
hate
do chores
laundry
do the laundry
snack
teenager
borrow
invite
player
care
take care of
feed
mine
radio
radio station
comfortable
seat
screen
close
close to
service
quality
theater
cinema
clothing
jeans
trendy
funky
easy
FM
AM
jazz
worse
worst
bargain
meal
positive
negative
dull
loud
talentn.
talent show
performer
success
act
without
together
musical
distance
near
farthest
province
southern
still
lovely
northern
snow
enough
sea
DJ
Los Angeles
central
diner
curry
deli
leader
band
easy
piece
brown bread
forbid
Forbidden City
camel
(not) at all
rat
cow
ha
seriously
hen
lay
Cruise
will
robot
everything  
paper
fewer
pollution
tree
building
astronaut
rocket
space
space station
fly
took
moon
fall
fell
fall in love with
alone
pet
parrot
probably
go skating
suit
able
be able to
dress
casually
which
even
the World Cup
wrote
myself
interview
predict
prediction
came
come true
sound
company
thought
strategy
fiction
unpleasant
scientist
in the future
hundreds of
already
made
factory
simple
such
bored
everywhere
human
shape
huge
earthquake
snake
possible
electric
toothbrush
seem
impossible
housework
rating
Alexis
keep out
play
argue
wrong
What’s wrong
style
out of style
could
call
up
ticket
surprise
on
phone
what's
matter
pay for
part-time
job
okay
either
bake
Teen Talk
tutor
original
the
same
as
in style
haircut
except
prep
upset
fail
get on   
return
football
until
prep
fit
fit…into…
as…as possible
pressure
complain
include
pushy
push
send
all kinds of
compare
crazy
themselves
adult  
on the one hand
organized
on the other hand
freedom
Eve
Erin
Nicole
Emilio
Alice
UFO
barber
barber shop
bathroom
bedroom
kitchen
get out
alien
bought
land
got
take off   
while
experience
imagine
strange
follow
amazing
kid  
scared
climb
jump
shout
rode
train station
ran
run away
anywhere

li
chen
liao
huang
zhou
sheng
guo
zhao
huang
xiong
yi
qian
sun
using
dropped
separate
total
findings
illustrate
necessarily
among
scatter
confirm
optimize
novel
response
approach
accurate
defined
change
prevent
salaman
slight
lower
approxi
dense
layer
alternative
series
polygonal
prominent
oval
region
substantially
involving
arrest
scenario
essential
supposed
along
based
addition
condition
indicate
extend
secondary
combined with
loss of
improvement
hence
increasing
indicated
indicate
the
a
an
